id, name
1290,Sanders James
1291,Sanders Thomas
1292,Sandilands James
1293,Sandys John
1294,Sandys Thomas
1295,Saris John
1296,Saunders David
8408,Nelly Francis
9490,Rankine Robert
1299,Saunders Richard
1300,Savage Augustus
1301,Sax Thomas
1302,Scott Francis
1303,Scott George
1304,Scott Hugh
1305,Scott John
1306,Scott Robert
1308,Scott Thomas
1309,Scott William
1310,Seale David
1311,Sealy John
9504,Rattray James
1313,Sedgewick William
1314,Serle Samuel
1315,Sever William Crofton
1316,Sharpe John
1317,Sharpeigh Alexander
1318,Shaw John
1319,Shea Charles
9512,Rawes Richard
1321,Shepheard John
9514,Rawlings Thomas
1323,Shepherd Thomas
1324,Sheppard Richard
1325,Sherwood John
1326,Shettler Robert Brown
1327,Shilling Andrew
1328,Short John
1329,Short Joseph
9522,Raymond Charles
1331,Shutter Richard
9524,Raymond John
9525,Rayne Robert
1334,Simpson George
1336,Sinclair Alexander
1337,Skottowe John
1338,Skottowe Nicholas
1339,Slade James
1340,Slade John
1341,Slater Gilbert
1342,Smales Thomas
9781,Roberts Thomas
1344,Small Daniel
1345,Smedley Henry
1346,Smith George
1347,Smith Joazen
1348,Smith John
1349,Smith Joseph
1350,Smith Kennard
1351,Smith Nathaniel
1352,Smith Samuel
1353,Smith Thomas
1354,Smith Timothy
1355,Smith William
1356,Smyth Edmund
9549,Reay Robert 
9550,Reddall Finch
1359,Sotheby John Barnet
1360,South Thomas
9553,Reddall John 
1362,Sparrow Matthew
9555,Reddie John 
1364,Spottiswoode Robert
1365,Stacey Edmund
1366,Stainforth George
1367,Stamp Ralph
1368,Stanes Francis
1369,Stanton Joseph
1370,Stead Thomas Fisher
9563,Redman Gabriel Jemmett
1372,Stephens George
1373,Stephenson Thomas
1374,Stevens George
8421,Nesbitt William
1376,Stevens Thomas
1377,Stevens William
9570,Reed Francis
1379,Steward Francis
1380,Steward Gabriel
1381,Stewart James
1382,Stewart Alexander
1383,Stewart Charles
1384,Stewart Francis Goddard
1386,Stewart John
8423,Nesham Thomas
9580,Rees James
1389,Stoakes Peter
1390,Stokoe William
9583,Reeves John
1392,Stout Benjamin
1393,Stranack James
1394,Strover John
1395,Strutton Richard
1396,Studd Edward
1397,Studd John Lynch
9590,Reid Hugh Atkins 
1399,Sturrock Henry
1400,Style Roger and Christopher Colthurst
1401,Sumner John
1402,Sunter James
8230,Mortimer Thomas 
1404,Sutton David
1405,Sutton John
1406,Swan Richard
1407,Swanley George
1408,Swanley Richard
1409,Swanly Richard
1410,Swanston R.
